state,year,population,employment,gdp
Baden-Wurttemberg,2016,1.2898432661396964,1.3763108540874518,1.418183873566959
Mecklenburg-Western Pomerania,2018,-0.8746238495506231,-0.9817444153817162,-0.9816445792447569
Saarland,2021,-1.4326981882612768,-1.3965281060159007,-1.1868299634990407
Hamburg,2008,-0.8125858959454922,-0.5402784963784826,-0.20867623135246877
Brandenburg,2017,-0.37750839100402855,-0.5479583905919968,-0.5104764933775504
Saxony,2008,0.19144175024973842,0.09299128748805092,-0.22764632017449485
Bavaria,2024,1.5266953900943796,1.6630860839564157,1.9186295088977559
Baden-Wurttemberg,2022,1.3191657593435393,1.4194074232059959,1.6298715531547494
Hesse,2018,0.6599663376268105,0.7432631890813269,0.9158467686490511
Mecklenburg-Western Pomerania,1991,-0.683307591941,-0.8710549075583124,-2.143557949191738
Schleswig-Holstein,2014,-0.23960172509923788,-0.32467535783088863,-0.36652405336265276
Brandenburg,2016,-0.38186109251427053,-0.5624492138742563,-0.5609255218025031
Hamburg,2019,-0.7212992833764457,-0.3747741196850469,0.0863681793700449
Brandenburg,2018,-0.3735781724753235,-0.5371608503669129,-0.48410606857299937
Bavaria,2018,1.4906901676023216,1.6269825665142437,1.6855278446698598
North Rhine-Westphalia,2014,1.8304392102344682,1.8297082583038677,1.6882641925613222
Mecklenburg-Western Pomerania,2009,-0.8593466212978758,-0.98532392575717,-1.2606979844306
Saxony,2009,0.18328521524616465,0.0879806812375135,-0.254596771529943
Thuringia,2017,-0.5453057336202309,-0.6206162150915754,-0.66021618903095
Baden-Wurttemberg,2024,1.3338408048784582,1.4322166858394305,1.7191345882114717
North Rhine-Westphalia,2021,1.8508190899222594,1.887105216105901,1.8698310008989263
Hamburg,2000,-0.8318295053541153,-0.6111400152492534,-0.4242569132859919
Lower Saxony,2010,0.9078346228754268,0.8279286775535013,0.6651351176358885
Thuringia,2011,-0.5277015349795194,-0.6156528242765261,-0.8476679986901049
Bremen,2016,-1.8579074476689588,-1.627149871508914,-1.3371909848810477
Saxony-Anhalt,2013,-0.4953516993563312,-0.6579950608691815,-0.7721160115292622
Rhineland-Palatinate,2008,0.16245028699159797,0.059751263113301194,-0.0639463580571142
Saxony,2012,0.16905660538208428,0.10618837449300274,-0.1488736291421718
Saxony-Anhalt,2017,-0.5066072380745426,-0.6619140995500563,-0.6733402076199404
Thuringia,2013,-0.5395464258517478,-0.6210488475201876,-0.7979236375982318
Lower Saxony,2012,0.9063230678397317,0.8635305040963068,0.7460462382923034
Schleswig-Holstein,2023,-0.1863549552332963,-0.23030980359323264,0.02441804662796556
Berlin,2023,0.08702385372783011,0.2161773382980725,0.5131817190456748
North Rhine-Westphalia,2000,1.8464569926227357,1.7621983980570248,1.3901032390377754
Saxony,2015,0.17404172207440788,0.1137737034902145,-0.03274954958973025
Mecklenburg-Western Pomerania,2024,-0.8634421382374454,-0.9832344987564473,-0.6766479308749197
Saxony,2023,0.17894962756852806,0.15438794319185054,0.2842620730017266
Hesse,2021,0.6671047555870335,0.7500580831810467,0.9789282536125034
Berlin,1991,-0.017441651772661947,-0.06608580845600016,-0.5638855714332508
Rhineland-Palatinate,2018,0.17659538162771568,0.13456815745631465,0.20482419482168054
Thuringia,2020,-0.5600463289324853,-0.6369545008223089,-0.632879280267371
North Rhine-Westphalia,2019,1.851752540923484,1.8908742734762038,1.8385795962023497
Hamburg,2023,-0.6869308534024103,-0.32984541382098,0.25693032549704264
North Rhine-Westphalia,2008,1.8366282451641165,1.785131873017685,1.586738729655749
Hesse,2009,0.6078617513856982,0.6336850352541739,0.6432934297624869
Schleswig-Holstein,2021,-0.20294743451522002,-0.25326955037034243,-0.12264021579513433
Schleswig-Holstein,2015,-0.23106146117562554,-0.3137463928920112,-0.3412225122337772
Thuringia,2000,-0.41336865987487625,-0.5822385092822026,-1.107791283673817
North Rhine-Westphalia,2016,1.847830654958351,1.8523511910426858,1.7437803786928443
North Rhine-Westphalia,2018,1.850648715062032,1.8802017421624597,1.817857315706145
Baden-Wurttemberg,2008,1.2465865558764275,1.2997375077446438,1.1944196186627547
Hesse,2000,0.6154296614784495,0.6154933684720957,0.5008116669131146
Lower Saxony,2021,0.9405031007184367,0.9425507445832129,1.0038594184199483
North Rhine-Westphalia,2017,1.8493037461039765,1.8659084690287575,1.784350373679009
Hesse,2012,0.6139427265560984,0.6634023994982045,0.7271419415540066
Saxony,1991,0.34147273004152695,0.24988108903678438,-1.1895737169418632
Saxony-Anhalt,2022,-0.5331929443579885,-0.673073631330426,-0.48136972068153683
Hesse,2019,0.664009763717218,0.754640007943311,0.9443685985768834
Brandenburg,2023,-0.34270637363997125,-0.5152796154628949,-0.21601136820654437
Bavaria,2016,1.4776102982516868,1.5899453653688922,1.6152938878572856
Bremen,2013,-1.8901953927755015,-1.6460357598316355,-1.4164873818482742
Saxony-Anhalt,2008,-0.4405038738459799,-0.6383816851686154,-0.8575205181985107
Hamburg,2018,-0.7264010410896702,-0.3911564170047753,0.04169241330726586
Mecklenburg-Western Pomerania,2012,-0.8794097571475417,-1.0168312723363118,-1.1786429773260136
Mecklenburg-Western Pomerania,2017,-0.8742727425763586,-0.989364490336536,-0.9861304992997412
Lower Saxony,1991,0.8544058503029552,0.6788622113309791,0.19925376169589057
Rhineland-Palatinate,2011,0.15215628588046418,0.07257997544002988,0.008531115935024439
Saarland,2019,-1.4263889119182132,-1.3729076914038034,-1.1868299634990407
Brandenburg,2014,-0.3984267536442491,-0.5794199250850327,-0.6047159059708724
Rhineland-Palatinate,2020,0.18124376033692008,0.12946098820105795,0.21724687782996582
Bremen,2015,-1.8720685738667182,-1.6398831260821674,-1.3629400839569905
Saarland,2016,-1.4179552225336294,-1.3877457754041898,-1.2402750954062836
Mecklenburg-Western Pomerania,2013,-0.8830832823088894,-1.0185222658996713,-1.1518208764609645
Baden-Wurttemberg,2018,1.3033050779794124,1.4080474546436679,1.5049977050030705
Bavaria,2022,1.5109982086546385,1.6482615146978508,1.8275711056619088
Bavaria,2015,1.4670647369815126,1.5716432665054056,1.5751235399303194
Lower Saxony,2015,0.9207886098149708,0.8923689678778669,0.8110946617887029
Rhineland-Palatinate,2012,0.15161785968097094,0.08213573304698558,0.03432512492791999
Hesse,2023,0.6870360179434921,0.7790284917104776,1.1041823634096346
North Rhine-Westphalia,2010,1.8279566577190356,1.7862734571343415,1.5769191767410795
Berlin,2019,0.05305670973117367,0.1531355140971492,0.2951187920163717
Hamburg,1991,-0.8412004092502994,-0.6434462613256777,-0.6783058482980754
Saxony,2016,0.17770387252782022,0.12382746590787946,6.849352280757974e-05
Saarland,2023,-1.4209112498561385,-1.3928783556421498,-1.0559160418107447
Berlin,2009,-0.073720943263779,-0.08503421358563075,-0.1647458324460906
Bremen,2019,-1.8462404620899084,-1.5985001610807505,-1.2906062382173453
Saarland,2020,-1.4301702526852154,-1.3894540435962115,-1.228786969326899
Lower Saxony,2009,0.9107647680188974,0.8201406176176654,0.6047196794327871
Bavaria,2013,1.448703228092361,1.5434783009369117,1.492401144579397
Thuringia,2018,-0.5492494167591784,-0.6179160128746355,-0.6440465276359503
Lower Saxony,2014,0.9109675663700808,0.8834750683086486,0.8011175853423287
Rhineland-Palatinate,2022,0.19133228778779676,0.14427447058726584,0.3994545954753423
Baden-Wurttemberg,1991,1.1798259633741819,1.1864828839736166,0.7229852474230366
Schleswig-Holstein,2012,-0.24723862708628605,-0.33747686733601223,-0.41269966779273426
Thuringia,2008,-0.4994774974606577,-0.6235397071374946,-0.9229507215067363
Hamburg,2011,-0.8054944171498734,-0.4970083656439639,-0.19108020339909934
Saxony-Anhalt,2021,-0.5346999677483284,-0.6742070162960562,-0.5758129593385387
Hamburg,2014,-0.7776294036248408,-0.452723545845445,-0.09800421549325376
North Rhine-Westphalia,1991,1.8185755282603397,1.68836689034497,1.1788647275394115
Hamburg,2009,-0.8141826315807389,-0.523683519686037,-0.239416351118912
Bavaria,2023,1.5219373384753943,1.6586160556017202,1.895310447365979
Brandenburg,2010,-0.3925415143986162,-0.5802543276308357,-0.7416364803846883
Lower Saxony,2023,0.959519122858549,0.9616370814285171,1.145099242298662
Saxony,2020,0.17248449296212237,0.14152547265653953,0.0824583547080432
Rhineland-Palatinate,2024,0.20377033609731116,0.147290655527114,0.43934943844837837
Saxony-Anhalt,2000,-0.3267584403926133,-0.5908420567351979,-1.0344714197052327
Baden-Wurttemberg,2017,1.297268626823631,1.3926178049921927,1.466528515703473
Thuringia,2021,-0.5665529035907935,-0.6439981304964201,-0.5863657891142308
Rhineland-Palatinate,2016,0.17106443430013987,0.11264479606757792,0.15647035536250511
Schleswig-Holstein,2011,-0.2485299312221195,-0.34558395345766774,-0.44909698153492394
Bavaria,2014,1.4564199234736117,1.556769159262483,1.5340445173300765
Saarland,2022,-1.4277624826411672,-1.3928783556421498,-1.085233254133076
Baden-Wurttemberg,2010,1.2438057001315408,1.2933272416234893,1.2006793737388495
Hesse,2014,0.626044731791243,0.6801609471283674,0.7949286838439794
Bavaria,2019,1.4962029841965103,1.6397250261982586,1.7206926279807322
Saarland,2000,-1.3452872958497053,-1.4121180594797647,-1.5562919080078266
Mecklenburg-Western Pomerania,2016,-0.8738515580306088,-0.9991515148374867,-1.0631662487171702
Saarland,2012,-1.4179552225336294,-1.391807141750956,-1.312079700429772
Saxony-Anhalt,2019,-0.5209516123821712,-0.6611292024889703,-0.6109071696600463
Lower Saxony,2011,0.9063085238467397,0.8460026646178131,0.72256863912528
Brandenburg,2011,-0.3967224027068182,-0.5811937683778929,-0.706913350872272
Lower Saxony,2008,0.9146983552655987,0.8105652258141699,0.6446442844304666
Hesse,2020,0.6664756467156324,0.7467784547456022,0.9137784586253358
Thuringia,2015,-0.5405913937157202,-0.6251671472124302,-0.7241262648297276
Baden-Wurttemberg,2014,1.2645079424251449,1.3510701530753966,1.3435360732416013
Brandenburg,2019,-0.3695716862083853,-0.531250951650005,-0.4411868013931428
Schleswig-Holstein,2008,-0.2468757132737337,-0.3655061425730066,-0.48410606857299937
Brandenburg,2013,-0.4003183633928037,-0.5802543276308357,-0.6585875681532865
Berlin,2012,-0.045973661628914975,-0.03669843280088123,-0.06033203594624508
Schleswig-Holstein,1991,-0.3172364468144374,-0.4434426352083056,-0.8575205181985107
Mecklenburg-Western Pomerania,2010,-0.8679713842041203,-0.9910148020436647,-1.2316468196811938
Berlin,2008,-0.07500165135683753,-0.1040324162212312,-0.16875301662875752
Hesse,2015,0.6381476706082693,0.6927965860832258,0.8224859757711535
Schleswig-Holstein,2019,-0.2092475362059741,-0.2562411499606208,-0.17681521639885664
Saarland,2013,-1.4220502437964202,-1.4008370938503691,-1.3245575967534104
Mecklenburg-Western Pomerania,2000,-0.7677458239269181,-0.967980049797992,-1.4096372457983128
Bavaria,2010,1.4315480066383084,1.4924574339447205,1.366755959163675
Saxony-Anhalt,2024,-0.534751969904117,-0.681259518885962,-0.41269966779273426
Hamburg,2021,-0.7157931395520413,-0.3766891533697972,0.14474980542148141
Bremen,2011,-1.897632364008156,-1.6677012616933982,-1.4766616792336071
Rhineland-Palatinate,2023,0.20057183747235982,0.14909650536569302,0.42044063280391825
Saarland,2009,-1.4001559209080614,-1.411900051175382,-1.4268501597557686
Berlin,2000,-0.06359572291168418,-0.1250973704536453,-0.3293925497868928
Saxony,2024,0.17726060652842085,0.15095406104837092,0.3096246534215884
Thuringia,2016,-0.5402255451318689,-0.6235397071374946,-0.6933503890145699
Saxony-Anhalt,2020,-0.528115052058159,-0.673073631330426,-0.6265527931020819
Rhineland-Palatinate,2015,0.16346052802581712,0.1031740823431726,0.12915803575753043
Baden-Wurttemberg,2020,1.30894278056805,1.4055353588775532,1.4865341358542041
Berlin,2015,0.0017162058381513796,0.029704182499491503,0.08167457710555438
Bremen,2024,-1.8302697438471103,-1.5852056980824984,-1.0729145572702161
Schleswig-Holstein,2000,-0.2633641374316141,-0.3856106469463713,-0.6249773207130411
Saarland,2024,-1.4211389569008208,-1.4017008689010804,-1.0439464071598181
Schleswig-Holstein,2017,-0.21483804850800775,-0.2820610089844649,-0.24914906213850196
Rhineland-Palatinate,2017,0.1739861436524256,0.12371562662193857,0.18448406457977687
Mecklenburg-Western Pomerania,2015,-0.877859158068967,-1.0044568129594327,-1.0877150577673673
Berlin,2011,-0.062430605094306396,-0.061859309747805034,-0.07669893221992055
Saarland,2014,-1.4250170073079365,-1.4014848631607917,-1.2755418261533453
Lower Saxony,2018,0.9344758044279222,0.9349448476864353,0.9477112203926712
Rhineland-Palatinate,1991,0.09402469312574899,-0.08060225432503468,-0.44909698153492394
Saarland,2017,-1.4187503163358741,-1.3798784918412388,-1.206194028156191
Thuringia,2010,-0.5198219777707855,-0.6202918495567691,-0.9041176794204718
Baden-Wurttemberg,2009,1.2449490498768496,1.2923546108072226,1.1197907599631605
Hamburg,2016,-0.7494280127696916,-0.4230169898077548,-0.03538626441361498
Berlin,2021,0.057254827014192274,0.16062932796735632,0.36624994537041755
Baden-Wurttemberg,2000,1.2306498548098106,1.2559496651384896,0.9747127952383519
Berlin,2017,0.0334036472189266,0.09603285902619658,0.19154409504902264
Bremen,2010,-1.896938486141536,-1.6831184105409653,-1.5062642575739225
Rhineland-Palatinate,2021,0.1829819887912285,0.13140665736391557,0.3459131257165719
Bavaria,2021,1.5011906430822772,1.6326962911061518,1.757084451580976
Bremen,2021,-1.852559030965476,-1.612734120103625,-1.228786969326899
Berlin,2020,0.056021703377961085,0.15013492799582695,0.29130027044628987
Saxony-Anhalt,2023,-0.5302885006250094,-0.676363588107622,-0.4242569132859919
Saxony,2019,0.17540254097544716,0.1492605303594325,0.10722456405167988
Baden-Wurttemberg,2019,1.3072401341734166,1.4161555722998438,1.5235093118221061
Bremen,2018,-1.846406288772577,-1.6065008525788393,-1.2906062382173453
Mecklenburg-Western Pomerania,2020,-0.8752561169035914,-0.9839802787587567,-0.9378444079296232
Thuringia,2019,-0.5539471651511757,-0.620075657640301,-0.6171364751466237
Lower Saxony,2000,0.9159536424897058,0.7721544386704453,0.4492190096387708
Thuringia,2012,-0.5341800776508665,-0.615007031567521,-0.8359699887688326
Saxony,2021,0.168442390474329,0.14207580810987677,0.13512606640352703
Berlin,2022,0.0712182251981021,0.19826007384551034,0.44210063763558555
Berlin,2018,0.044364148048277055,0.12611773258282213,0.24565452935930218
North Rhine-Westphalia,2009,1.8317297840504758,1.7823436110246351,1.549091814820375
North Rhine-Westphalia,2024,1.8677655572101832,1.9118409985785578,2.0165829420316954
Thuringia,2023,-0.5612168827141827,-0.6399206737099216,-0.4464533913060631
North Rhine-Westphalia,2022,1.8575378587831077,1.903967736862293,1.9380375323779473
Mecklenburg-Western Pomerania,2023,-0.8617049387328374,-0.9752113174711758,-0.7103326332983666
Brandenburg,2000,-0.34130301291755627,-0.5719379297777619,-0.9838850581197519
Berlin,2016,0.01857992837887519,0.06140717160415634,0.1358696060615886
Saxony,2013,0.1679675412994804,0.1127012682623331,-0.12168152420754952
Saxony-Anhalt,2011,-0.4778594103792227,-0.6464295654749561,-0.8224907513721987
Bavaria,2008,1.432443488454213,1.4785171580465657,1.3294361130725505
Mecklenburg-Western Pomerania,2014,-0.8835079194030888,-1.0074996453519398,-1.1052599058834647
Schleswig-Holstein,2016,-0.22096847102146022,-0.297223991032201,-0.3107471271785503
Rhineland-Palatinate,2000,0.1622537464037571,-4.087329551059145e-05,-0.2340493916378884
Saxony-Anhalt,2016,-0.500940231213106,-0.665846792765883,-0.7086215505659068
Lower Saxony,2022,0.9501140399431581,0.9556319350672767,1.0725207230220617
Hesse,2022,0.6758935641138138,0.7676748130331609,1.0389237364894293
Lower Saxony,2024,0.9611829804909289,0.9626215427018384,1.178067388702934
Hamburg,2010,-0.8122535262328203,-0.5131146421894438,-0.20763267358835352
Bremen,2017,-1.8498942772377587,-1.617954934186768,-1.3089840758007185
Saarland,2011,-1.4136487249749334,-1.3935215722950016,-1.3182994517068514
Hesse,2013,0.6188103308782351,0.6679693936823962,0.7521352432525517
Thuringia,2024,-0.5660716294772913,-0.6490880271374759,-0.42813879273829364
Bavaria,2000,1.4076303517546667,1.436838792965243,1.1195091052097657
North Rhine-Westphalia,2023,1.8658432209482978,1.9102110020079643,1.991985113200604
Brandenburg,2020,-0.3652659346797502,-0.5382661264526266,-0.45440493228983464
Hamburg,2017,-0.7359283491822296,-0.40804868396020477,0.0177591308771529
Schleswig-Holstein,2010,-0.24913573792148289,-0.3563992102968989,-0.48822448836653864
Hamburg,2013,-0.7868849983171752,-0.4615177363141525,-0.11976685644615825
